price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
26.95,6.0,175.0,205.0,191.0,61.0,0,1,0,1,0,0,0,0,0
11.95,5.0,70.0,141.0,157.0,45.0,1,0,0,0,1,0,0,0,0
79.95,8.0,695.0,282.0,480.0,61.0,1,0,0,0,0,0,0,0,1
11.95,6.0,57.0,195.0,210.0,45.0,0,0,1,1,0,0,0,0,0
84.95,18.0,665.0,262.0,282.0,76.0,0,0,1,0,0,0,1,0,0
11.95,2.0,11.0,141.0,191.0,70.5,0,1,0,0,0,1,0,0,0
26.95,8.0,193.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
269.0,18.0,2314.0,582.0,378.0,103.0,0,0,1,0,0,0,1,0,0
99.0,9.0,878.0,282.0,540.0,59.0,1,0,0,1,0,0,0,0,0
79.95,9.0,625.0,262.0,382.0,70.5,0,0,1,0,0,0,1,0,0
24.95,4.0,85.0,191.0,262.0,46.0,0,0,1,0,1,0,0,0,0
109.0,8.0,851.0,282.0,480.0,74.0,0,0,1,1,0,0,0,0,0
69.95,18.0,771.0,262.0,382.0,56.5,0,0,1,1,0,0,0,0,0
69.95,6.0,500.0,282.0,540.0,59.0,0,0,1,0,1,0,0,0,0
36.95,6.0,346.0,191.0,354.0,59.0,1,0,0,0,0,0,0,0,1
189.0,18.0,1508.0,480.0,282.0,91.0,0,0,1,1,0,0,0,0,0
11.95,6.0,56.0,195.0,210.0,45.0,0,0,1,1,0,0,0,0,0
36.95,4.0,134.0,191.0,262.0,61.0,0,1,0,0,0,0,0,0,1
59.95,9.0,593.0,262.0,282.0,76.0,0,0,1,0,0,0,1,0,0
32.95,4.0,54.0,141.0,262.0,48.0,0,0,1,1,0,0,0,0,0
26.95,6.0,105.0,141.0,191.0,46.0,0,0,1,0,0,0,1,0,0
